epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.78784,1.66755,4.80426,1.3406,0,0,0,0,1.63504,4.80787,1.32021,1.54e-05,1.54e-05,1.54e-05
2,9.75146,1.57898,4.78501,1.29282,0,0,0,0,1.52075,4.69015,1.17788,3.4307e-05,3.4307e-05,3.4307e-05
3,13.3711,1.31113,4.60019,1.14698,0,0,0,0,1.31066,4.60603,1.04194,5.28328e-05,5.28328e-05,5.28328e-05
4,16.9852,1.23966,4.5017,1.08043,0,0,0,0,1.15942,4.54134,0.95886,7.09774e-05,7.09774e-05,7.09774e-05
5,20.731,1.21406,4.45697,1.03462,0,0,0,0,1.14106,4.48196,0.93626,8.8741e-05,8.8741e-05,8.8741e-05
6,24.4135,1.14467,4.37551,0.9969,0,0,0,0,1.17323,4.4472,0.92886,0.000106123,0.000106123,0.000106123
7,28.3621,1.09239,4.21334,0.97748,0.04545,0.02841,0.03693,0.03448,1.06938,4.40952,0.90999,0.000123125,0.000123125,0.000123125
8,32.3353,1.12478,4.14245,0.97132,0.09091,0.06818,0.07932,0.073,1.0779,4.39087,0.91132,0.000139745,0.000139745,0.000139745
9,36.2145,1.0768,4.07102,0.93909,0.13584,0.21203,0.19385,0.16806,1.11426,4.342,0.92102,0.000155984,0.000155984,0.000155984
10,39.932,1.07989,3.81273,0.96199,0.10888,0.25,0.21316,0.18789,1.0364,4.2944,0.90073,0.000171841,0.000171841,0.000171841
11,43.7208,1.01127,3.76069,0.92303,0.18549,0.32767,0.30325,0.26111,1.00589,4.24588,0.89459,0.000187318,0.000187318,0.000187318
12,47.3649,1.04471,3.61478,0.93044,0.20328,0.41818,0.3975,0.34085,1.04212,4.1386,0.90068,0.000202413,0.000202413,0.000202413
13,51.0997,1.12458,3.60365,0.95983,0.20223,0.46023,0.4377,0.37002,1.06565,4.08981,0.90744,0.000217128,0.000217128,0.000217128
14,54.7789,1.14974,3.45801,0.96962,0.16536,0.5,0.46912,0.38975,1.05539,4.00047,0.89668,0.000231461,0.000231461,0.000231461
15,58.4801,1.08385,3.36805,0.91809,0.14806,0.5,0.49132,0.41468,1.02044,3.8859,0.89258,0.000245413,0.000245413,0.000245413
16,62.2769,1.06439,3.17046,0.92062,0.16855,0.51283,0.51726,0.44349,1.0328,3.79455,0.89348,0.000258984,0.000258984,0.000258984
17,65.8145,1.05796,2.91045,0.93463,0.89264,0.37646,0.53112,0.43887,1.04503,3.63568,0.88929,0.000272173,0.000272173,0.000272173
18,69.4342,1.09924,2.83023,0.95878,0.93982,0.31469,0.56489,0.46429,1.01254,3.5283,0.88714,0.000284982,0.000284982,0.000284982
19,73.0578,1.04806,2.76555,0.94638,0.94005,0.33798,0.58155,0.48445,0.97026,3.37933,0.88499,0.000297409,0.000297409,0.000297409
20,76.7523,1.06606,2.6383,0.94557,0.93149,0.43144,0.64277,0.53415,0.96341,3.05319,0.88557,0.000309456,0.000309456,0.000309456
