epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51444,1.19792,4.4987,1.223,0,0,0,0,0.83154,4.39305,1.06828,1.112e-05,1.112e-05,1.112e-05
2,11.7203,1.16806,4.48002,1.21973,0,0,0,0,0.81829,4.36739,1.0521,2.75248e-05,2.75248e-05,2.75248e-05
3,15.4854,1.13159,4.40152,1.17316,0,0,0,0,0.72507,4.24473,0.929,4.35993e-05,4.35993e-05,4.35993e-05
4,19.2255,0.91944,4.24856,1.07384,0,0,0,0,0.67709,4.15129,0.87648,5.93435e-05,5.93435e-05,5.93435e-05
5,23.0353,0.89651,4.19314,1.00194,0,0,0,0,0.68017,4.08418,0.85589,7.47575e-05,7.47575e-05,7.47575e-05
6,26.6587,0.82702,4.09971,0.96058,0.11905,0.01145,0.06628,0.06628,0.69632,4.03802,0.85628,8.98413e-05,8.98413e-05,8.98413e-05
7,30.7987,0.82036,4.09843,0.9551,0.07063,0.0538,0.06739,0.06252,0.73024,3.97348,0.86368,0.000104595,0.000104595,0.000104595
8,34.4821,0.79325,3.91383,0.93798,0.05917,0.09661,0.07564,0.06593,0.75353,3.93948,0.86639,0.000119018,0.000119018,0.000119018
9,38.2495,0.75042,3.8318,0.92121,0.02997,0.12592,0.08686,0.07602,0.74977,3.8792,0.85596,0.000133111,0.000133111,0.000133111
10,41.7978,0.77172,3.7428,0.9185,0.03316,0.1701,0.09955,0.08669,0.7327,3.86811,0.84778,0.000146874,0.000146874,0.000146874
11,45.4631,0.78034,3.73008,0.90119,0.03819,0.3828,0.1335,0.11086,0.73093,3.84602,0.84814,0.000160306,0.000160306,0.000160306
12,49.0752,0.78547,3.63197,0.90411,0.03401,0.44802,0.15724,0.13472,0.69917,3.80391,0.84236,0.000173408,0.000173408,0.000173408
13,52.5881,0.71628,3.51843,0.89928,0.04117,0.60714,0.23789,0.21339,0.64254,3.75744,0.83048,0.00018618,0.00018618,0.00018618
14,56.2191,0.74439,3.42161,0.89416,0.04246,0.6627,0.24851,0.22325,0.63767,3.73919,0.82692,0.000198622,0.000198622,0.000198622
15,59.8811,0.7531,3.36254,0.8947,0.04371,0.71567,0.27353,0.2409,0.62578,3.69857,0.83141,0.000210733,0.000210733,0.000210733
16,63.5166,0.70046,3.24453,0.88734,0.04246,0.74067,0.28873,0.25517,0.62447,3.68368,0.83157,0.000222514,0.000222514,0.000222514
17,67.3877,0.76331,3.18953,0.89212,0.03797,0.75337,0.30876,0.27057,0.65671,3.64468,0.83901,0.000233965,0.000233965,0.000233965
18,71.0387,0.77244,3.11942,0.88821,0.03587,0.76131,0.32355,0.28079,0.65978,3.6119,0.83918,0.000245085,0.000245085,0.000245085
19,74.8124,0.69588,2.86977,0.87929,0.03481,0.75833,0.34518,0.29938,0.64634,3.57619,0.83769,0.000255876,0.000255876,0.000255876
20,78.4733,0.70864,2.77985,0.89425,0.03491,0.77857,0.37627,0.323,0.64682,3.53212,0.84042,0.000266336,0.000266336,0.000266336
21,82.2548,0.73878,2.76921,0.90993,0.03324,0.76964,0.41293,0.35463,0.65084,3.4791,0.84704,0.000276465,0.000276465,0.000276465
22,86.3143,0.76022,2.66544,0.88733,0.91542,0.16389,0.4363,0.37272,0.64908,3.4167,0.85359,0.000286265,0.000286265,0.000286265
23,90.1961,0.71346,2.48106,0.89316,0.9997,0.10178,0.44457,0.37532,0.66713,3.37832,0.86931,0.000295734,0.000295734,0.000295734
24,94.0717,0.73994,2.45969,0.88978,0.9931,0.10972,0.46408,0.38934,0.67463,3.32032,0.88371,0.000304873,0.000304873,0.000304873
25,98.0057,0.72993,2.24868,0.88948,0.98842,0.13251,0.52426,0.4392,0.67137,3.20307,0.88003,0.000313682,0.000313682,0.000313682
26,101.943,0.76288,2.08494,0.93007,0.98878,0.16047,0.58176,0.48541,0.67974,3.08255,0.88767,0.00032216,0.00032216,0.00032216
27,105.73,0.69747,2.09384,0.88883,0.81329,0.19696,0.62164,0.51951,0.68861,2.97855,0.8958,0.000330308,0.000330308,0.000330308
28,109.554,0.71998,1.88809,0.89799,0.8897,0.28631,0.65535,0.5498,0.70772,2.83741,0.89661,0.000338126,0.000338126,0.000338126
29,113.198,0.68183,1.71675,0.88373,0.8897,0.28631,0.65535,0.5498,0.70772,2.83741,0.89661,0.000345614,0.000345614,0.000345614
30,116.808,0.70811,1.68624,0.89526,0.86834,0.35211,0.6939,0.58177,0.70426,2.68513,0.88608,0.000352771,0.000352771,0.000352771
31,120.453,0.63806,1.62834,0.88582,0.85323,0.44374,0.73162,0.61804,0.68039,2.49773,0.88039,0.000359599,0.000359599,0.000359599
32,124.355,0.70456,1.74033,0.86959,0.85547,0.55406,0.76428,0.6447,0.68777,2.29261,0.88697,0.000366095,0.000366095,0.000366095
33,128.098,0.70143,1.52365,0.903,0.85547,0.55406,0.76428,0.6447,0.68777,2.29261,0.88697,0.000372262,0.000372262,0.000372262
34,131.821,0.70291,1.49087,0.8978,0.81527,0.63965,0.76884,0.65287,0.66319,2.09253,0.88726,0.000374355,0.000374355,0.000374355
35,135.71,0.66453,1.4793,0.901,0.79889,0.73202,0.7891,0.67115,0.65366,1.88099,0.88542,0.00036885,0.00036885,0.00036885
36,139.366,0.67235,1.37867,0.87657,0.79233,0.77544,0.81365,0.68816,0.64875,1.6722,0.88611,0.000363346,0.000363346,0.000363346
37,142.973,0.67486,1.23953,0.88932,0.79233,0.77544,0.81365,0.68816,0.64875,1.6722,0.88611,0.000357842,0.000357842,0.000357842
38,146.966,0.65544,1.31331,0.87703,0.79881,0.78843,0.83299,0.70767,0.64805,1.47609,0.88957,0.000352337,0.000352337,0.000352337
39,150.5,0.67105,1.26482,0.89675,0.79241,0.80037,0.8515,0.71114,0.65971,1.32317,0.89175,0.000346833,0.000346833,0.000346833
