epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8441,1.02428,3.81348,1.37956,0.01029,0.84784,0.10347,0.07104,0.85068,3.3935,1.43687,0.0002175,0.0002175,0.0002175
2,79.3346,1.06435,3.25453,1.43001,0.64011,0.15087,0.16519,0.10808,1.08083,2.80939,1.75959,0.000431125,0.000431125,0.000431125
3,152.911,1.12089,2.81844,1.46932,0.33938,0.25867,0.20532,0.12555,1.24396,2.76813,1.86392,0.000635945,0.000635945,0.000635945
4,225.835,1.15117,2.61389,1.45361,0.56053,0.22396,0.28155,0.16972,1.22513,2.56674,1.87757,0.00062738,0.00062738,0.00062738
5,299.515,1.13783,2.44896,1.45609,0.17407,0.27549,0.18675,0.09211,1.60748,4.29194,2.48525,0.000614174,0.000614174,0.000614174
6,372.63,1.12306,2.30931,1.45369,0.53834,0.29814,0.37035,0.23021,1.28479,2.54478,1.94177,0.000600967,0.000600967,0.000600967
7,446.148,1.08145,2.17812,1.41217,0.26284,0.34294,0.30854,0.20531,1.07431,2.52872,1.66934,0.00058776,0.00058776,0.00058776
8,518.545,1.05623,2.15597,1.40252,0.34043,0.40982,0.44534,0.29109,1.08302,2.31967,1.67827,0.000574554,0.000574554,0.000574554
9,590.3,1.03709,2.07527,1.38323,0.52285,0.41761,0.46564,0.31744,1.09079,2.11333,1.65818,0.000561347,0.000561347,0.000561347
10,726.914,1.01689,2.00553,1.36725,0.51788,0.39339,0.4378,0.30248,1.04936,2.213,1.65927,0.000548141,0.000548141,0.000548141
11,758.825,0.9593,1.80398,1.33677,0.63174,0.46596,0.55392,0.38161,1.05017,1.84484,1.6517,0.000534934,0.000534934,0.000534934
12,786.04,0.99175,1.75666,1.33546,0.58767,0.46859,0.53451,0.37687,1.06119,1.83409,1.64508,0.000521727,0.000521727,0.000521727
13,808.726,0.97473,1.77861,1.33595,0.61369,0.48884,0.54812,0.34798,1.11978,1.89926,1.77061,0.000508521,0.000508521,0.000508521
14,829.064,0.94034,1.66331,1.30089,0.52925,0.57286,0.59457,0.40579,1.02441,1.79935,1.57888,0.000495314,0.000495314,0.000495314
15,849.055,0.9265,1.59654,1.29829,0.62788,0.51041,0.57465,0.39374,1.05315,1.69703,1.64456,0.000482108,0.000482108,0.000482108
16,868.959,0.92914,1.5753,1.30239,0.5712,0.57709,0.61864,0.43786,0.95848,1.5943,1.56605,0.000468901,0.000468901,0.000468901
17,888.812,0.90708,1.53426,1.28719,0.53288,0.53009,0.5736,0.39921,1.05399,1.7877,1.64609,0.000455694,0.000455694,0.000455694
18,908.375,0.89891,1.50216,1.2639,0.60742,0.60089,0.64419,0.4536,1.01093,1.56438,1.63058,0.000442488,0.000442488,0.000442488
19,928.085,0.91201,1.50955,1.29591,0.66746,0.55475,0.63326,0.4466,0.97223,1.58091,1.55218,0.000429281,0.000429281,0.000429281
20,947.483,0.91927,1.50663,1.30342,0.67146,0.60676,0.65118,0.46486,1.02211,1.64182,1.61731,0.000416075,0.000416075,0.000416075
21,967.669,0.88842,1.37442,1.26229,0.55937,0.65983,0.64966,0.40878,1.13608,1.66796,1.82482,0.000402868,0.000402868,0.000402868
22,987.032,0.85415,1.35059,1.26912,0.66202,0.71662,0.72317,0.50811,0.98567,1.43308,1.59059,0.000389661,0.000389661,0.000389661
23,1006.89,0.88651,1.32859,1.27746,0.52186,0.66517,0.64776,0.44512,1.0264,1.54629,1.63244,0.000376455,0.000376455,0.000376455
24,1027,0.84929,1.2834,1.25242,0.63654,0.64188,0.67958,0.46979,0.97791,1.56177,1.62246,0.000363248,0.000363248,0.000363248
25,1048.31,0.83529,1.24294,1.2252,0.75152,0.67846,0.73922,0.52484,0.89258,1.31488,1.4891,0.000350042,0.000350042,0.000350042
26,1069.16,0.84251,1.22083,1.2336,0.71061,0.72762,0.74501,0.545,0.91037,1.26506,1.51997,0.000336835,0.000336835,0.000336835
27,1088.83,0.83948,1.24082,1.23792,0.6657,0.70536,0.72908,0.52562,0.9393,1.39845,1.52869,0.000323628,0.000323628,0.000323628
28,1108.74,0.8546,1.19744,1.23196,0.73512,0.68643,0.74903,0.53167,0.95017,1.285,1.53924,0.000310422,0.000310422,0.000310422
29,1128.07,0.84704,1.17812,1.25632,0.73424,0.64605,0.73441,0.54935,0.87976,1.31983,1.44557,0.000297215,0.000297215,0.000297215
30,1147.52,0.81671,1.12577,1.23368,0.75874,0.65863,0.77337,0.54954,0.97438,1.30066,1.49647,0.000284009,0.000284009,0.000284009
31,1166.95,0.80475,1.15894,1.23117,0.6976,0.69202,0.74602,0.54952,0.89597,1.2722,1.48379,0.000270802,0.000270802,0.000270802
32,1186.14,0.82984,1.0987,1.22688,0.73741,0.7453,0.77194,0.56177,0.88766,1.25255,1.45258,0.000257595,0.000257595,0.000257595
